age,age_group,gender,occupation,current_balance,balance_diff,customer_tenure_years,is_active,churn,churn_label,activity_status,risk_segment
66,65+,Male,self_employed,1458.71,0.0,5.76,1,0,Retained,Active,Low Risk
35,26-35,Male,self_employed,5390.37,-3397.2400000000007,6.43,1,0,Retained,Active,Medium Risk
31,26-35,Male,salaried,3913.16,-1156.9800000000005,6.01,0,0,Retained,Inactive,High Risk
90,65+,Male,self_employed,2291.91,622.1199999999999,6.38,1,1,Churned,Active,Low Risk
42,36-45,Male,self_employed,927.72,-749.44,4.33,1,1,Churned,Active,Medium Risk
42,36-45,Female,self_employed,15202.2,-147.54999999999927,5.27,1,0,Retained,Active,Medium Risk
72,65+,Male,retired,7006.93,-749.0499999999993,5.61,1,0,Retained,Active,Medium Risk
46,46-55,Male,self_employed,10096.58,4779.54,5.5,1,0,Retained,Active,Low Risk
31,26-35,Male,salaried,1355.86,-501.5600000000002,5.62,1,0,Retained,Active,Medium Risk
40,36-45,Male,self_employed,4957.95,2541.26,6.29,1,0,Retained,Active,Low Risk
68,65+,Male,retired,1928.76,128.6099999999999,6.55,1,0,Retained,Active,Low Risk
32,26-35,Male,salaried,6886.4,-1185.9300000000003,6.28,1,0,Retained,Active,Medium Risk
73,65+,Male,retired,554.38,-2058.22,6.06,1,1,Churned,Active,Medium Risk
50,46-55,Male,salaried,4548.48,3011.4999999999995,4.55,1,0,Retained,Active,Low Risk
48,46-55,Female,self_employed,5431.42,-1202.5199999999995,5.25,1,1,Churned,Active,Medium Risk
51,46-55,Female,self_employed,2010.98,170.75,4.15,0,0,Retained,Inactive,Medium Risk
49,46-55,Male,self_employed,1448.49,-1678.51,6.28,1,1,Churned,Active,Medium Risk
52,46-55,Female,self_employed,5292.13,1481.1800000000003,5.84,1,0,Retained,Active,Low Risk
47,46-55,Female,self_employed,3507.71,-514.3299999999999,5.76,1,0,Retained,Active,Medium Risk
41,36-45,Female,self_employed,3042.7,350.17999999999984,5.98,1,1,Churned,Active,Low Risk
45,36-45,Male,self_employed,2.18,-6857.0,4.24,1,1,Churned,Active,Medium Risk
29,26-35,Female,self_employed,4792.6,-951.6099999999996,6.68,0,1,Churned,Inactive,High Risk
41,36-45,Female,self_employed,8358.47,642.8599999999997,5.77,1,0,Retained,Active,Low Risk
34,26-35,Male,self_employed,2497.52,399.1399999999999,4.8,1,0,Retained,Active,Low Risk
48,46-55,Male,salaried,2596.21,-2361.6499999999996,5.89,1,1,Churned,Active,Medium Risk
76,65+,Male,self_employed,14289.26,0.0,6.22,0,0,Retained,Inactive,Medium Risk
36,36-45,Male,self_employed,20273.43,-5230.759999999998,5.15,1,0,Retained,Active,Medium Risk
56,56-65,Male,self_employed,7111.29,140.0,6.66,1,0,Retained,Active,Low Risk
55,46-55,Male,self_employed,6424.46,-2165.1400000000003,6.0,1,0,Retained,Active,Medium Risk
33,26-35,Female,salaried,6152.67,-12.769999999999529,5.64,0,0,Retained,Inactive,High Risk
66,65+,Male,retired,972.57,-10050.13,6.11,1,1,Churned,Active,Medium Risk
64,56-65,Female,retired,10701.32,5881.94,4.52,1,0,Retained,Active,Low Risk
54,46-55,Male,self_employed,3294.42,0.0,5.79,0,0,Retained,Inactive,Medium Risk
90,65+,Male,self_employed,1210.46,-877.23,6.12,1,0,Retained,Active,Medium Risk
9,<=25,Male,student,4065.35,0.0,5.81,0,0,Retained,Inactive,Medium Risk
52,46-55,Male,self_employed,7613.61,1906.12,6.24,1,0,Retained,Active,Low Risk
51,46-55,Male,self_employed,226.9,-1480.61,5.5,1,0,Retained,Active,Medium Risk
54,46-55,Male,self_employed,1436.71,0.0,5.87,1,0,Retained,Active,Low Risk
47,46-55,Male,self_employed,5575.95,332.4299999999994,6.76,1,0,Retained,Active,Low Risk
34,26-35,Male,salaried,3295.17,0.0,3.72,1,0,Retained,Active,Low Risk
69,65+,Male,retired,13148.58,422.8600000000006,3.71,1,0,Retained,Active,Low Risk
90,65+,Male,self_employed,7870.87,0.0,5.79,1,0,Retained,Active,Low Risk
44,36-45,Female,self_employed,2021.8,-10131.320000000002,4.19,1,1,Churned,Active,Medium Risk
55,46-55,Female,self_employed,2899.7,-1018.48,6.38,1,0,Retained,Active,Medium Risk
17,<=25,Female,student,849.37,-821.4699999999999,6.37,1,0,Retained,Active,Medium Risk
48,46-55,Male,self_employed,6792.03,4421.49,6.64,1,0,Retained,Active,Low Risk
41,36-45,Male,self_employed,1540.21,-1066.61,6.2,1,0,Retained,Active,Medium Risk
4,<=25,Male,student,5717.13,-35.73999999999978,5.33,1,0,Retained,Active,Medium Risk
52,46-55,Male,self_employed,3854.44,-3438.9599999999996,6.01,1,1,Churned,Active,Medium Risk
30,26-35,Female,self_employed,3585.62,-12674.12,6.16,1,1,Churned,Active,Medium Risk
45,36-45,Female,self_employed,9885.21,0.0,5.58,0,0,Retained,Inactive,Medium Risk
43,36-45,Male,salaried,4474.38,-3622.12,6.36,1,0,Retained,Active,Medium Risk
65,56-65,Male,self_employed,1443.95,-121.19000000000004,5.47,1,0,Retained,Active,Medium Risk
34,26-35,Male,self_employed,21252.86,-488.7799999999989,6.19,1,0,Retained,Active,Medium Risk
51,46-55,Female,self_employed,894.72,-474.8299999999999,6.19,1,0,Retained,Active,Medium Risk
72,65+,Female,self_employed,1499.55,0.0,3.48,0,0,Retained,Inactive,Medium Risk
44,36-45,Male,self_employed,91.47,-3801.07,5.82,1,1,Churned,Active,Medium Risk
19,<=25,Female,student,2788.4,830.7800000000002,5.66,1,0,Retained,Active,Low Risk
43,36-45,Female,self_employed,3365.16,1704.91,6.63,1,0,Retained,Active,Low Risk
49,46-55,Male,self_employed,3373.21,-2527.42,5.06,1,0,Retained,Active,Medium Risk
